des,fea,cost
Thomson OATHPRO Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty,"₹26,999₹37,99928% off"
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Warranty on Product and 1 Year Additional Warranty for Panel,"₹23,999₹27,99914% off"
MOTOROLA ZX2 100.3 cm (40 inch) Full HD LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels40 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹24,999₹26,9997% off"
MOTOROLA ZX Pro 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Type1 Year Warranty on Product,"₹38,999₹54,99929% off"
Thomson R9 80 cm (32 inch) HD Ready LED TV,HD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBThin Bezel Design1 Year Warranty,"₹11,999₹14,99019% off"
Nokia 107.9 cm (43 inch) Full HD LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels39 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹25,499₹39,99936% off"
iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade UHD 10-bit DLED Panel1 Year Warranty on Product,"₹25,999₹47,99045% off"
SAMSUNG Crystal 4K 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹36,990₹52,90030% off"
MOTOROLA ZX 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Type1 Year Warranty on Product,"₹37,999₹54,05029% off"
LG All-in-One 126 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: WebOSUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 3 x USB1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module,"₹43,999₹66,99034% off"
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade1 Year Vu Domestic Warranty,"₹43,999₹56,00021% off"
SONY Bravia X7002G 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|YoutubeOperating System: Linux basedUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 3 x USBLED1 Year Manufacturer Warranty,"₹40,999₹66,90038% off"
Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels39 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹30,499₹45,99933% off"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Grade1 Year Warranty on Product,"₹39,999₹1,06,99062% off"
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels48 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹40,499₹59,99932% off"
Thomson 9A Series 102 cm (40 inch) Full HD LED Smart Android TV,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Panel1 Year Warranty on Product,"₹19,999₹21,4996% off"
LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: WebOSUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 2 x USBIPS1Year Warranty Provided by the Manufacturer from Date of Purchase,"₹54,990"
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Warranty on Product and 1 Year Additional Warranty for Panel,"₹23,999₹27,99914% off"
MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 × 2160 Pixels50 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product,"₹44,999₹49,99910% off"
MOTOROLA ZX Pro 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBLG IPS1 Year Warranty on Product,"₹31,999₹46,99931% off"
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+1 Year Warranty,"₹13,799₹13,9991% off"
Panasonic 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year From Date of Purchase,"₹37,999₹42,99011% off"
Mi Q1 189.34 cm (75 inch) QLED Ultra HD (4K) Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output120 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product and Additional 1 Year for Panel,"₹1,19,999₹1,99,99940% off"
iFFALCON by TCL 138.6 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBA+ Grade UHD 10-bit DLED Panel1 Year Warranty on Product,"₹35,999₹70,99049% off"
"Hisense A73F 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with 102W JBL 6 Speakers, Dolby Visio...",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels102 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty,"₹45,999₹59,99023% off"
SONY BRAVIA X7400H 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty,"₹65,499₹94,90030% off"
iFFALCON by TCL 100.3 cm (40 inch) Full HD LED Smart Android TV with Google assistant search and Dolby...,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade Panel1 Year Domestic Warranty,"₹20,499₹36,99044% off"
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,HD Ready 1366 x 768 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade1 Year Warranty on Product,"₹11,999₹18,99036% off"
TOSHIBA U50 Series 108 cm (43 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|YoutubeOperating System: VIDAAUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBYupp TV4 Year Comprehensive Warranty,"₹28,990₹39,99027% off"
iFFALCON by TCL 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBA+ Grade UHD 10-bit DLED Panel1 Year Warranty on Product,"₹31,999₹58,99045% off"
Thomson 9A Series 106 cm (42 inch) Full HD LED Smart Android TV,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty,"₹21,499₹27,99923% off"
SAMSUNG The Frame 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,Netflix|Prime Video|Apple TV|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output120 Hz Refresh Rate4 x HDMI | 2 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel,"₹81,990₹1,29,90036% off"
Coocaa 81 cm (32 inch) HD Ready LED Smart TV with YouTube,YoutubeOperating System: LinuxHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBA+Grade panel1 Year Domestic Warranty,"₹11,999₹25,99053% off"
Hisense A71F 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & ATMOS,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty,"₹29,999₹36,99018% off"
TCL P715 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels19 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year,"₹32,990₹59,99045% off"
SONY BRAVIA 80 cm (32 inch) HD Ready LED Smart TV,Netflix|Prime Video|YoutubeOperating System: Linux basedHD Ready 1366 x 768 Pixels20 W Speaker Output50 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Manufacturer Warranty,"₹24,499₹25,9905% off"
iFFALCON by TCL 107.9 cm (43 inch) Ultra HD (4K) LED Smart Android TV with HandsFree Voice Search,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade1 Year Warranty on Product,"₹29,999₹76,99061% off"
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty,"₹38,999₹49,99922% off"
TOSHIBA L50 Series 80 cm (32 inch) HD Ready LED Smart TV with ADS Panel,Netflix|Prime Video|YoutubeOperating System: VIDAAHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBYupp TV1 Year Warranty,"₹15,499₹18,99018% off"
iFFALCON by TCL 107.86 CM (43 inch) Full HD LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade1 Year Warranty on Product,"₹23,999₹44,99046% off"
Nokia 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels48 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Panel1 Year Warranty on Product,"₹36,499₹54,99933% off"
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Warranty on Product and 1 Year Additional Warranty for Panel,"₹23,999₹27,99914% off"
MOTOROLA ZX 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product,"₹40,999₹61,60033% off"
Thomson 9A Series 108 cm (43 inch) Full HD LED Smart Android TV with Bezel Less Display,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels40 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty,"₹22,999₹29,99923% off"
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹50,990₹69,90027% off"
Panasonic 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USB1 Year Warranty on Product from Date of Purchase,"₹27,999₹34,99019% off"
Sansui 80 cm (32 inch) HD Ready LED Smart TV,Netflix|Prime Video|YoutubeOperating System: LinuxHD Ready 1366 x 768 Pixels20 W Speaker Output50 Hz Refresh Rate2 x HDMI | 2 x USBIPS1 Year Comprehensive and 1 Year Additional Warranty on LED Panel,"₹12,499₹14,99016% off"
SAMSUNG Crystal 4K Pro 163 cm (65 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹89,990₹1,25,90028% off"
SAMSUNG Crystal 4K Pro 125 cm (50 inch) Ultra HD (4K) LED Smart TV with Voice Search,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹51,990₹71,40027% off"
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby...,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty,"₹33,999₹40,99917% off"
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: Android BasedUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 1 Year Additional for Panel,"₹39,999₹40,9992% off"
SONY Bravia 108 cm (43 inch) Full HD LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: LinuxFull HD 1920 x 1080 Pixels20 W Speaker Output50 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Manufacturer Warranty,"₹37,999₹44,90015% off"
KODAK 60 cm (24 inch) HD Ready LED TV,HD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBA+1 Year Warranty,"₹8,999₹10,49914% off"
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty and 2 Years For Panel,"₹23,999₹29,99920% off"
realme SLED 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBSLED LED1 Year Domestic Warranty and 2  Years on Panel,"₹43,999₹69,99937% off"
TCL S6500 Series 79.97 cm (32 inch) HD Ready LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Panel36 Months,"₹16,099₹29,99046% off"
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|YoutubeOperating System: VIDAAUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBYupp TV4 Year Comprehensive Warranty,"₹35,499₹46,99024% off"
TOSHIBA U50 Series 139 cm (55 inch) Ultra HD (4K) LED Smart TV with Dolby Vision & ATMOS,Netflix|Prime Video|YoutubeOperating System: VIDAAUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBYupp TV4 Year Comprehensive Warranty,"₹40,499₹54,99026% off"
KODAK CA Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840X2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product,"₹33,499₹42,99922% off"
Vu Cinema TV Action Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels100 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB3 Year Warranty on Product from Vu,"₹69,999₹1,00,00030% off"
OnePlus U Series 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBLED1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase,"₹52,999₹59,99911% off"
MOTOROLA Revou 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 × 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product,"₹31,999₹35,99911% off"
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels40 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product,"₹32,999₹36,0008% off"
SONY X74 Bravia 125.7 cms (50 inch) Ultra HD (4K) LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output50 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Manufacturer Warranty on Product,"₹62,999₹84,90025% off"
TCL 79.97 cm (32 inch) HD Ready LED TV,HD Ready 720p PixelsNO Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB2 YEAR,"₹13,659₹22,99040% off"
OnePlus Y Series 100 cm (40 inch) Full HD LED Smart Android TV,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Warranty on Product and 1 Year Additional Warranty for Panel,"₹23,999₹27,99914% off"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Panel1 Year Warranty on Product,"₹13,999₹15,4999% off"
infinix X1 80 cm (32 inch) HD Ready LED Smart Android TV with Eye Care Technology,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Domestic Warranty,"₹14,499₹14,9993% off"
SONY W800G Series 123.2 cm (49 inch) Full HD LED Smart Android TV,Netflix|Disney+Hotstar|YoutubeOperating System: AndroidFull HD 1920 x 1080 Pixels10 W Speaker Output50 Hz Refresh Rate4 x HDMI | 3 x USBLED1 Year Manufacturer Warranty,"₹53,999₹69,90022% off"
HUIDI 80 cm (32 inch) HD Ready LED TV,HD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USB1 Year Warranty,"₹10,999₹16,59933% off"
Adsun 80 cm (32 inch) HD Ready LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: Android BasedHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBA+ Grade1 Year Warranty on Product,"₹11,699₹21,99946% off"
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart TV,Netflix|Disney+Hotstar|YoutubeOperating System: TizenUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USB1 Year Product Warranty and 1 Year Additional on Panel,"₹48,990₹68,40028% off"
KODAK 7X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product,"₹24,999₹28,99913% off"
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840X2160 Pixels30 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBIPS1 Year Warranty on Product,"₹38,499₹47,99919% off"
MOTOROLA ZX 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Wireless Gamepad,Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidUltra HD (4K) 3840 x 2160 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBADS1 Year Warranty on Product,"₹30,999₹46,05032% off"
